word	value
msnbc	-3	100.0
texas	0	53.3783783784
coceises	-3	100.0
batsfirst	3	100.0
finance	-1	60.7142857143
vitos	0	50.0
captivated	2	83.6734693878
killer	-1	64.6895273401
shatter	-1	63.6363636364
sooner	0	50.7462686567
captivates	2	88.2352941176
ansom	6	100.0
anson	-3	100.0
emoworld	-3	100.0
morethanwilling	3	100.0
aspirations	0	50.0
autoreferentialism	3	100.0
killed	-1	64.586846543
hollman	-3	100.0
movielike	0	50.0
wimpsout	-3	100.0
tabe	3	100.0
sculptorneighbor	3	100.0
truthful	1	73.5294117647
ibbss	3	100.0
spreadeth	3	100.0
adriennes	3	100.0
zombiehunting	-3	100.0
peasant	0	53.125
828	-3	100.0
craftily	0	66.6666666667
cleggses	3	100.0
821	-3	100.0
820	-3	100.0
bumpass	-3	100.0
shotscene	-3	100.0
yared	3	100.0
survived	-3	100.0
vaudevillians	3	100.0
bookshop	0	50.0
lycra	-3	100.0
richly	2	86.6666666667
wilby	0	50.0
topbilling	3	100.0
drifted	-1	75.0
aloof	0	58.6206896552
[seth	3	100.0
simcha	-3	100.0
relive	0	69.696969697
rampal	-6	100.0
rastafarian	0	50.0
problemthis	3	100.0
triplethreat	3	100.0
sfiff	3	100.0
ordinarylooking	-3	100.0
homagesend	-3	100.0
socializes	3	100.0
nudey	-3	100.0
fitin	-3	100.0
nudes	-1	75.0
chines	3	100.0
ruddy	1	75.0
protoauteur	-3	100.0
beautyand	-3	100.0
tonguelashing	3	100.0
gouge	-1	77.7777777778
waterfueled	-3	100.0
tatyana	0	66.6666666667
lalwani	-3	100.0
vinyl	6	100.0
boyboy	3	100.0
ediedebra	3	100.0
antiimperialistic	3	100.0
alphas	-3	100.0
immuminati	-3	100.0
httpiwascalledclementine	-3	100.0
dikhlajaa	-3	100.0
fluxs	-3	100.0
stillman	3	100.0
listings	0	60.0
jaeckels	0	50.0
hopitude	3	100.0
thanklessly	-3	100.0
proffered	-1	75.0
blacksmith	6	100.0
oxbow	3	100.0
rewrites	-1	63.6363636364
cellulite	-3	100.0
exotic	0	52.7472527473
{yes	3	100.0
screenplays	-1	61.5384615385
kernel	-1	66.6666666667
smartmouth	0	50.0
payne2	-3	100.0
afew	0	66.6666666667
mikkelsen	6	100.0
corporations	0	50.0
baggy	0	54.5454545455
rivets	-2	80.0
incompetently	-2	88.8888888889
unscary	-3	90.9090909091
bettys	3	94.8717948718
gutsier	3	100.0
rosaria	-3	100.0
plains	0	62.8571428571
germanturkish	3	100.0
plotnick	-3	100.0
alfred	1	76.4227642276
fellowships	3	100.0
chauncey	6	100.0
rosario	-6	100.0
extraordinaries	3	100.0
nightmarishness	3	100.0
herrman	3	100.0
ferensens	3	100.0
massaged	-3	100.0
marrakeck	3	100.0
senta	0	50.0
marrakech	6	100.0
accurately	0	55.8139534884
mikels	-3	100.0
massages	-3	100.0
cosmonaut	-1	75.0
stipulation	3	100.0
meshing	3	100.0
2dear	3	100.0
gotti	3	100.0
cartels	-3	100.0
gotto	3	100.0
grammer	2	87.5
sections	0	65.7894736842
gotta	0	50.3311258278
ventura	0	64.1025641026
orgy	-1	66.6666666667
dumariers	3	100.0
venture	-1	60.5633802817
rerunning	0	50.0
midpsychictornado	3	100.0
commends	-3	100.0
files	0	55.2631578947
vija	3	100.0
sulu	0	60.0
horison	3	100.0
adela	-6	100.0
desmondgeoffrey	-3	100.0
mitty	-3	100.0
hollistons	-3	100.0
impersonators	-1	66.6666666667
mitts	6	100.0
subsiquent	3	100.0
coelho	0	50.0
hashmi	-6	100.0
shadowpictures	-3	100.0
pontypool	-6	100.0
clintons	-3	100.0
commissions	-3	100.0
dudesons	3	100.0
persiandari	3	100.0
personalized	0	50.0
pranks	1	70.2702702703
noiseuse	3	100.0
girolomo	3	100.0
skinned	0	50.0
youthe	-3	100.0
investigations	-1	68.4210526316
physches	3	100.0
weakwilled	3	100.0
entreaty	3	100.0
skinner	1	75.0
contrasts	3	95.652173913
terriblelooking	3	100.0
kukluxklan	3	100.0
conspicuous	0	60.0
410br	0	58.3333333333
massacred	0	66.6666666667
refunds	-3	100.0
fills	0	59.6153846154
diversity	0	64.5161290323
gyro	-3	100.0
wreathed	3	100.0
trotter	3	100.0
moohyeon	3	100.0
massacres	0	61.5384615385
chawla	2	83.3333333333
potculture	-3	100.0
trotted	-3	100.0
beaner	-6	100.0
filmdull	-3	100.0
cinecitta	0	50.0
einar	3	100.0
delta	-1	72.0930232558
contemporary	0	67.4311926606
sacco&vanzetti	3	100.0
fervour	3	100.0
daagebr	-3	100.0
cambodian	3	100.0
beaned	3	100.0
roker	-3	100.0
caddysack	-3	100.0
monovision	3	100.0
schwartzeneggar	-3	100.0
popsicle	-3	100.0
garfiled	3	100.0
plannedout	-3	100.0
richterslater	3	100.0
bafoonery	3	100.0
histories	0	50.0
themwtf	-3	100.0
branaghs	-1	72.7272727273
identifyingempathisingsympathising	-3	100.0
mamasan	6	100.0
jaroslav	3	100.0
holby	-3	100.0
ridgemount	3	100.0
fiance	1	70.5882352941
varios	3	100.0
savoring	-1	75.0
oujii	3	100.0
ventana	3	100.0
schticks	3	100.0
skeeball	-3	100.0
midriff	-3	100.0
story	3	100.0
spraying	-1	62.5
framing	0	54.0
sakall	6	100.0
yvonne	2	80.0
girlshe	-3	100.0
showoff	0	50.0
nouveau	3	100.0
ramayana	3	100.0
evergrowing	6	100.0
1970stype	-3	100.0
1980ies	0	50.0
burnama	3	100.0
miserabless	3	100.0
vidocq	-3	100.0
characteristic	0	50.0
limousin	-3	100.0
yeung	0	54.5454545455
rudds	-1	66.6666666667
wiki	3	100.0
placeare	-3	100.0
lethargy	-6	100.0
ricci	0	59.4594594595
sitaand	3	100.0
scottthomas	0	62.5
gospelshouting	3	100.0
mafiatype	-3	100.0
macfarlane	0	50.0
calendar	0	55.5555555556
histerically	-3	100.0
wettest	-3	100.0
lloydpack	3	100.0
twosided	3	100.0
steadfast	0	50.0
bathetic	-3	100.0
superstuds	-3	100.0
whereabouts	0	50.0
jt	-6	100.0
radu	2	85.7142857143
downriver	0	50.0
karmen	-6	100.0
midsummers	-3	100.0
mihai	-3	100.0
saidtramps	-3	100.0
cliftperhaps	3	100.0
checks	0	57.8947368421
oversized	-2	80.0
retardedly	-3	100.0
jw	-3	100.0
moranis	0	50.0
soontobecondemned	-3	100.0
tut	-3	100.0
nosofunny	-3	100.0
nonethelessbr	-3	100.0
killing	0	59.7733711048
sturges	0	52.9411764706
aurther	-3	100.0
whitest	3	100.0
chachi	-3	100.0
js	3	100.0
ratchets	6	100.0
bopping	0	50.0
sketchesparodies	-3	100.0
flyable	3	100.0
stinker	-3	95.7627118644
upperclass	0	69.2307692308
saratoga	2	84.6153846154
antisemite	2	85.7142857143
seenbr	-3	100.0
saratoge	3	100.0
according	-1	60.4651162791
matthisons	3	100.0
dellys	3	100.0
disappointment	-1	78.167115903
jh	3	100.0
holders	-3	100.0
tum	-3	100.0
jj	3	100.0
tragen	3	100.0
possessive	1	70.0
je	0	50.0
perpetuating	0	54.5454545455
madeall	-3	100.0
innuendos	-1	64.2857142857
custody	1	74.4680851064
millar	3	100.0
arts	0	52.3178807947
caricature	0	58.6666666667
lyman	3	100.0
henstridge	-6	100.0
arty	0	56.0
rrrr	-3	100.0
ucla	0	57.1428571429
gooding	3	90.625
lopez	0	50.0
arte	3	100.0
constituencies	-1	66.6666666667
tug	0	56.25
deafandblind	-3	100.0
arto	3	100.0
weeble	-3	100.0
graveyard	0	55.8139534884
codpiece	-3	100.0
spills	-1	72.2222222222
bankable	0	50.0
freethinking	2	87.5
overdose	0	54.5454545455
polyestertwo	-3	100.0
yugoslav	-6	100.0
postsentenced	3	100.0
thule	3	100.0
disconnected	-2	83.7209302326
sixteenthcentury	-3	100.0
renauts	-3	100.0
peteor	3	100.0
sherri	0	51.5151515152
deformities	-1	66.6666666667
1453	3	100.0
awakened	1	75.0
confucians	3	100.0
enoughbr	0	66.6666666667
beeny	-3	100.0
inanely	-3	100.0
einsteinhair	-3	100.0
beens	3	100.0
devotees	1	70.0
ehle	-1	66.6666666667
kindnesses	3	100.0
middle	0	55.4106910039
kibosh	0	50.0
mcboingboingone	-3	100.0
ferns	-3	100.0
boddert	3	100.0
jascha	6	100.0
delage	3	100.0
plo	-3	100.0
insofar	-2	83.3333333333
philipprospero	3	100.0
leopardclad	-3	100.0
same	0	50.1986097319
deference	1	75.0
cannibalistically	3	100.0
beloveds	-3	100.0
deserting	-3	100.0
samu	-3	100.0
rowlads	3	100.0
almaeva	-3	100.0
devours	-2	80.0
munch	-2	83.3333333333
rainy	0	54.7169811321
secondgrader	-3	100.0
inbetween	0	53.8461538462
inexplicablypresumably	-3	100.0
choiwook	-3	100.0
elisabeht	3	100.0
antiterrorist	3	100.0
discernable	-1	66.6666666667
middleweight	3	100.0
sayers	6	100.0
intermittent	-1	66.6666666667
wouldbehip	-3	100.0
accountable	-3	100.0
moviecritics	-3	100.0
trayshure	-3	100.0
shrader	-3	100.0
gilseg	-3	100.0
chippettes	3	100.0
alcoholfueled	-3	100.0
smithson	3	100.0
gangs	-1	60.5633802817
fatties	0	50.0
reccoemnd	-3	100.0
surrenders	1	71.4285714286
imprint	0	61.5384615385
gooders	3	100.0
wifey	-1	66.6666666667
ganga	-3	100.0
smallvile	-3	100.0
suction	3	100.0
exhuming	-3	100.0
wifes	0	60.0
dipped	-2	87.5
bowie	-1	63.6363636364
exstudent	0	50.0
nagell	3	100.0
parlor	0	52.1739130435
dipper	3	100.0
plaguerism	-3	100.0
astonishment	0	58.3333333333
fantasyelements	-3	100.0
couplebernard	3	100.0
overpraise	3	100.0
elaborately	1	72.7272727273
noticebut	3	100.0
bovinelike	-3	100.0
96th	3	100.0
emphathise	3	100.0
docks	3	92.3076923077
photocopies	-3	100.0
uberevil	-3	100.0
ferment	3	100.0
fizzling	3	100.0
semiformal	-3	100.0
baiscally	3	100.0
swatch	3	100.0
19932003	-3	100.0
blankets	3	100.0
christina	0	50.0
christine	0	56.3636363636
nosy	0	50.0
notreadyforprimetime	-3	100.0
chamber	0	52.9411764706
audience	0	51.9361084221
flashbacksa	3	100.0
nose	0	59.3103448276
robbery	0	52.4590163934
voluntarily	-1	66.6666666667
robbert	-3	100.0
robbers	0	57.1428571429
ryosuke	-3	100.0
mindsorry	3	100.0
specifies	-3	100.0
alternated	0	50.0
göran	-3	100.0
kershners	0	50.0
sutra	3	100.0
joab	-3	100.0
passportgreen	3	100.0
shogo	3	100.0
oftensought	-3	100.0
joad	2	83.3333333333
specified	3	100.0
boppy	3	100.0
joan	0	60.0938967136
alternates	0	60.0
gross	0	55.6390977444
connectthedots	-3	100.0
sudan	6	100.0
tiretracks	-3	100.0
inject	-2	80.0
subtlest	3	100.0
greyscale	-3	100.0
songstress	0	66.6666666667
age47	3	100.0
domus	-3	100.0
qians	3	100.0
ovens	-3	100.0
buttressed	3	100.0
1980s	0	50.5208333333
underwriters	-3	100.0
cliques	1	75.0
finlay	2	85.0
broker	0	60.0
joeless	-3	100.0
cliqued	3	100.0
broken	0	50.0
nymphoid	0	50.0
binghamton	3	100.0
ricciwho	3	100.0
squarely	0	52.6315789474
roaming	-1	73.3333333333
nearfulllength	3	100.0
thruout	0	50.0
criswell	-3	100.0
helping	0	57.0512820513
opium	0	60.0
faldaas	-3	100.0
remakebr	3	100.0
mantan	-3	90.9090909091
spunsugar	-3	100.0
renditioned	3	100.0
betterworse	3	100.0
wadequinn	-3	100.0
marriott	2	85.7142857143
muddles	-6	100.0
organizers	-2	80.0
overdramatized	0	60.0
trackwalker	3	100.0
gromitfan	3	100.0
selflessly	3	100.0
shortening	-3	100.0
aggrandizement	-3	100.0
yareds	3	100.0
bruti	3	100.0
fated	2	83.3333333333
jaclyns	-3	100.0
wastelands	0	50.0
sexistbutlovinghusband	-3	100.0
tunedin	-3	100.0
brute	0	57.6923076923
fates	0	59.0909090909
tunedit	3	100.0
candy	-1	68.1818181818
kaaren	0	66.6666666667
tycoon	0	51.724137931
mornings	0	54.5454545455
delilah	-1	66.6666666667
whizkid	-3	100.0
hesitance	-3	100.0
hoplon	-3	100.0
snes	0	66.6666666667
fricken	-3	100.0
therethere	-3	100.0
fricker	3	100.0
wiping	0	55.5555555556
collosal	-3	100.0
staircases	3	100.0
staircase}	3	100.0
hesitancy	-3	100.0
olshansky	3	100.0
belated	3	100.0
nationalsregional	-3	100.0
loyalists	0	66.6666666667
lorelei	0	66.6666666667
selfapproved	3	100.0
infraredlike	-3	100.0
strawberry	-1	66.6666666667
reassured	-3	100.0
suitcase	1	70.8333333333
chizhov	3	100.0
1314	3	100.0
subbasement	-3	100.0
leaked	0	50.0
deliberation	0	50.0
mujahedin	3	100.0
perennially	-1	66.6666666667
connerythe	3	100.0
danceoff	-3	100.0
finelylayered	3	100.0
girlfriend	0	52.8268551237
lifetime	0	57.7540106952
deterrent	-1	66.6666666667
toggling	-3	100.0
noelgypsyyahoo	3	100.0
arrowhead	-3	100.0
sheppird	-3	100.0
hubac	3	100.0
angstridden	0	50.0
field	0	56.9288389513
unaccustomed	2	80.0
unsuggestive	3	100.0
kauffman	-3	100.0
unaroused	-3	100.0
unfortuatley	3	100.0
obsessed	0	59.7765363128
progressiveness	3	100.0
students	0	51.5075376884
dvdflicks	-3	100.0
carpathian	-6	100.0
hungama	-3	100.0
ethereally	0	50.0
profanityas	3	100.0
tyras	3	100.0
quantifiableand	3	100.0
tackle	0	51.4285714286
revolve	0	56.4102564103
lover’s	-3	100.0
syber	-3	100.0
youngeroh	-3	100.0
remote	0	57.6470588235
abercrombie&fitch	3	100.0
mothertobe	3	100.0
giantsgiven	3	100.0
hugely	0	66.1538461538
deluxe	0	60.0
starting	0	54.9090909091
fridrik	3	100.0
represent	0	57.5471698113
notacting	3	100.0
liar	0	54.6875
orsen	-3	100.0
guilthaunted	3	100.0
suburban	0	63.768115942
undiplomatic	3	100.0
langdon	0	68.75
eurocharm	-3	100.0
alerting	0	66.6666666667
eda	3	100.0
nakedis	-3	100.0
porcine	3	100.0
liam	0	62.5
bmx	3	100.0
reluctant	1	70.4918032787
plese	3	100.0
itthe	-3	100.0
pretentiousone	-3	100.0
lovecraftadaption	-3	100.0
rwanda	2	80.0
those	0	54.5085470085
suzannelinnea	3	100.0
hooks	0	51.0638297872
headscratcher	0	50.0
cartoonbr	3	100.0
bevy	1	76.9230769231
canutt	-6	100.0
shifters	-3	100.0
rambunctious	0	62.5
dissonates	3	100.0
overdone	0	55.0
resistance	0	61.3636363636
scout	0	50.0
asianwannabescarymovie	-3	100.0
scour	-3	100.0
bottleneck	3	100.0
silents	0	55.0
doubleagent	0	50.0
norfolk	2	83.3333333333
cabletv	0	50.0
benevolent	-1	62.5
industrialization	3	100.0
dongle	3	100.0
helges	3	100.0
pocatello	3	100.0
exploitive	0	56.25
saudi	-3	97.9166666667
hichtum	3	100.0
mistaking	0	55.5555555556
elfick	-3	100.0
stupefied	-3	100.0
titled	0	57.0
solicitations	-3	100.0
dusty&sapphirew	3	100.0
phoenixeagle	3	100.0
onshore	3	100.0
knitted	0	66.6666666667
malansky	-3	100.0
titles	0	56.9696969697
lawyer	0	58.1395348837
cornelia	3	100.0
forcible	-3	100.0
crepuscule	-3	100.0
storks	3	100.0
compund	-3	100.0
novitiate	3	100.0
castellaneta	0	50.0
verbalize	3	100.0
cawcaw	3	100.0
overthe	-3	100.0
excia	3	100.0
sillybut	3	100.0
doingbr	-3	100.0
sociologically	3	100.0
doulos	3	100.0
goodchilds	-3	100.0
nonsplatter	3	100.0
ashforth	3	100.0
surfer	0	57.6923076923
beacon	2	83.3333333333
harridan	0	50.0
threeway	0	55.5555555556
surfed	0	50.0
biweekly	3	100.0
drubbed	3	100.0
artitic	-3	100.0
fatter	-3	100.0
search	0	57.6023391813
antagonizing	-3	100.0
grisham	-6	100.0
torturers	-1	71.4285714286
hoitytoity	-3	100.0
reoccuring	-3	100.0
twovalued	3	100.0
stella	0	63.2653061224
agatha	0	56.6666666667
stelle	3	100.0
linas	-3	100.0
pathological	-1	66.6666666667
y12	-3	100.0
kirchen	-3	100.0
prejudge	3	100.0
barker	1	75.3424657534
transit	0	50.0
cowtow	3	100.0
anthill	-3	100.0
sadist	-1	65.0
gristle	0	50.0
intersplice	-3	100.0
sadism	0	52.0
japanimation	-3	100.0
establish	0	56.0606060606
barked	-3	100.0
jewishlooking	0	50.0
nonchronological	3	100.0
libertine	2	83.3333333333
sanjay	-6	100.0
whittaker	3	100.0
merriwether	-3	100.0
andmost	-3	100.0
cultivation	3	100.0
mccarthyexcept	-3	100.0
lassie	-1	79.1666666667
jive	-1	69.2307692308
druggy	1	75.0
achieving	0	52.9411764706
gongfu	3	100.0
clinichospital	-3	100.0
recomendations	-3	100.0
bulgarian	-1	76.4705882353
sellars	2	85.7142857143
nimbus	-3	100.0
brisk	2	81.8181818182
dykstra	6	100.0
ritteraccident	-3	100.0
briss	2	87.5
comicstyle	3	100.0
bulgarias	0	50.0
none	-1	66.8838219327
nona	-3	100.0
dystopianly	-3	100.0
nono	-3	90.9090909091
critized	3	100.0
ohara	-1	60.5263157895
intercepted	-3	100.0
reisch	3	100.0
thereat	-3	100.0
clergy	0	66.6666666667
mattsonsbr	3	100.0
oharu	3	100.0
jerry	3	100.0
marble	-1	60.0
interestingsort	-3	100.0
compare	0	56.5476190476
onesee	-3	100.0
conniving	0	56.6666666667
starcouple	-3	100.0
raisin	3	100.0
socal	3	100.0
breathing	0	53.488372093
suggs	3	100.0
freleng	6	100.0
computerassistant	-3	100.0
malachis	-3	100.0
wisely	0	55.5555555556
lamotte	3	100.0
forbess	-3	100.0
patton	0	57.8947368421
renew	0	66.6666666667
seagals	-2	84.3137254902
mutable	3	100.0
ursini	3	100.0
intertitle	0	50.0
compositionally	3	100.0
worthingtonworks	-3	100.0
galactic	0	60.0
stripdramafarce	3	100.0
charms	0	63.6363636364
petite	0	50.0
08th	3	100.0
uprising	0	68.4210526316
manias	3	100.0
windstruck	3	100.0
sheeplike	3	100.0
charme	3	100.0
petits	3	100.0
spoors	-3	100.0
blood	-1	60.2182539683
lowbudged	-3	100.0
mummyrip	-3	100.0
bloom	1	70.3703703704
emotionrepentance	3	100.0
new	-3	100.0
coat	0	53.9682539683
zeleweger	3	100.0
canadien	-3	100.0
beaitiful	3	100.0
cemeteries	0	66.6666666667
coal	0	55.0
mannersomething	3	100.0
10which	-3	100.0
sexless	-1	60.0
ndingombaba	-3	100.0
bekins	3	100.0
4poor	-3	100.0
brundruge	3	100.0
cheddarcovered	-3	100.0
setback	0	57.1428571429
dougs	2	87.5
radiators	-3	100.0
dough	0	52.9411764706
lovecraftlike	-3	100.0
noirish	0	58.8235294118
existence	0	55.701754386
clumsily	-2	80.7692307692
prevaricate	-3	100.0
pishot	3	100.0
facesi	3	100.0
phalocretinism	-3	100.0
pent	0	50.0
pens	-1	75.0
champs	-3	100.0
vulnerable	1	77.380952381
sodium	-3	100.0
kasarov	3	100.0
peng	-3	100.0
poultrygeist	3	100.0
offguard	-1	60.0
edmund	1	70.0
pena	-2	83.3333333333
penn	0	63.309352518
clamor	3	100.0
miata	3	100.0
bereft	-3	91.6666666667
peni	-3	100.0
walla	-3	100.0
dennehy	0	63.1578947368
screenplaywithinthescreenplay	3	100.0
walle	0	60.0
unrolled	-3	100.0
jetengines	-3	100.0
railroads	0	66.6666666667
dubiousoffkilter	-3	100.0
sams	-1	62.0689655172
walls	-1	60.7476635514
greatespecially	3	100.0
top40	-3	100.0
highwaymens	3	100.0
detach	6	100.0
slashershocker	-3	100.0
habite	3	100.0
panandscan	0	66.6666666667
suprise	0	55.5555555556
quasidream	-3	100.0
malone	0	51.8518518519
token	-1	68.0
habits	0	54.0540540541
subjugation	0	60.0
raystephen	3	100.0
goofs	-1	62.8571428571
ransley	3	100.0
clams	0	50.0
nakedness	-1	60.0
beret	0	55.5555555556
dullish	-3	100.0
macdonalds	0	50.0
mongoloid	0	50.0
phillipinos	3	100.0
endearment	0	64.2857142857
seniority	3	100.0
allusions	1	73.3333333333
initiatives	3	100.0
someoneher	3	100.0
tongan	3	100.0
numbingly	-2	84.6153846154
avenge	0	58.064516129
whatthehell	3	100.0
burkhammer	3	100.0
rundownbr	-3	100.0
taoliang	3	100.0
garson	2	87.5
abridgement	-3	100.0
beyotch	-3	100.0
sheetsbr	3	100.0
lastditch	-3	100.0
alphaville	3	100.0
disposition	0	58.8235294118
2055	-3	100.0
supremacistrapist	-3	100.0
maguires	-3	100.0
gremlinsfame	-3	100.0
kondova	-3	100.0
ritchies	-1	71.4285714286
generalinchief	3	100.0
hasser	3	100.0
snails	-1	62.0689655172
omit	-1	77.7777777778
tvlogo	-3	100.0
actorwriter	3	100.0
audacity	0	57.8947368421
quickness	-1	75.0
sunin	3	100.0
corkscrew	-1	60.0
segonzac	-3	100.0
coulter	0	50.0
seduction	0	66.6666666667
anotherbr	-3	100.0
disapointing	0	50.0
explored	0	67.0212765957
hackmans	-1	75.0
creatorss	-3	100.0
elevator	-1	62.1212121212
bullied	1	73.6842105263
alpert	3	100.0
koi	-3	100.0
kok	-3	100.0
flashlights	-6	100.0
kon	6	100.0
syncsings	-3	100.0
rankles	-3	100.0
belén	6	100.0
maitresse	-3	100.0
belafontes	3	100.0
pomme	3	100.0
koq	3	100.0
kop	3	100.0
kos	-1	66.6666666667
compartment	-6	100.0
kou	0	50.0
kow	3	100.0
ravings	-1	66.6666666667
alteregos	3	100.0
mentality	0	53.3333333333
madmen	0	60.0
handtohand	0	54.5454545455
dreams	3	100.0
franchises	-1	64.2857142857
gloover	-3	100.0
hellraiserbloodline	-3	100.0
satish	3	100.0
compliments	2	81.8181818182
pickups	3	100.0
colander	-3	100.0
gameworld	3	100.0
buttfers	3	100.0
riddance	3	100.0
£3m	-3	100.0
interactive	-1	60.0
derbyshire	6	100.0
pormand	-3	100.0
plead	0	55.5555555556
tarttongued	3	100.0
sawyers	3	100.0
lumets	0	50.0
intestine	0	50.0
abominable	-1	72.7272727273
excre	-3	100.0
schizoid	0	50.0
aehole	-3	100.0
onset	0	61.9047619048
extracted	-1	60.0
bernadettes	3	100.0
commentary	0	54.9253731343
k9	-2	80.0
fievel	-3	100.0
mockbiographical	3	100.0
havecould	-3	100.0
bobbysoxers	3	100.0
simpleits	-3	100.0
19492000	3	100.0
depths	0	51.5151515152
makeitupasyougo	-3	100.0
cutalternate	3	100.0
cowncept	-3	100.0
calpunk	3	100.0
seeitman	3	100.0
ronny	2	85.7142857143
kc	3	100.0
kb	3	100.0
ka	1	75.0
pocketing	3	100.0
kg	2	87.5
woohhh	-3	100.0
ke	2	86.6666666667
kk	-3	100.0
ki	-1	66.6666666667
loners	3	100.0
ko	0	60.0
km	0	50.0
ks	3	100.0
squelches	-3	100.0
kw	3	100.0
korps	-3	100.0
ku	-2	80.0
orlof	-3	100.0
squelch	3	100.0
weigh	-1	60.0
ky	0	50.0
baycos	3	100.0
lumping	-3	100.0
98mins	3	100.0
satirises	3	100.0
schmoeller	6	100.0
ghostwrite	-3	100.0
scriptwithout	3	100.0
modeltoy	-3	100.0
hillside	0	50.0
sanctity	-1	66.6666666667
persuasively	1	75.0
bernède	-3	100.0
saarsgard	0	66.6666666667
philanthropists	-3	100.0
sadomasochistic	1	75.0
cockfighting	-3	100.0
freedoms	6	100.0
cripplingly	-3	100.0
fornicatingand	-3	100.0
generators	-6	100.0
tempests	3	100.0
awhilebut	-3	100.0
threeshortstoryhorrormovie	3	100.0
douglass	-6	100.0
nutbourne	6	100.0
prowess	0	51.8518518519
bds	-3	100.0
notation	-3	100.0
permission	0	53.3333333333
ferren	3	100.0
chessmaster	-3	100.0
ferrel	3	100.0
defenitly	-3	100.0
boxerskids	-3	100.0
cheaper	-1	78.9473684211
ferret	0	50.0
cheapen	-1	75.0
ferrer	-1	66.6666666667
korine	-6	100.0
valentinos	0	50.0
10dirhenri	-3	100.0
lenzi	-3	94.4444444444
telerealistic	-3	100.0
swampthinganother	-3	100.0
ginny	6	100.0
innapropriatly	3	100.0
gospel	1	72.7272727273
homar	-3	100.0
motiveless	0	50.0
bainbridge	3	100.0
mindlesslittle	3	100.0
tended	1	72.4137931034
individual	0	67.0886075949
tender	1	72.3404255319
treatmentwith	-3	100.0
glasscott	3	100.0
ohsoalluring	3	100.0
enveloped	3	100.0
mensing	-3	100.0
revenege	3	100.0
howze	-3	100.0
alderman	-3	100.0
bossmanakeem	3	100.0
sittingroom	-3	100.0
malkovich	1	78.2051282051
sororitylike	-3	100.0
entymology	-3	100.0
aviary	-3	100.0
skipworths	-3	100.0
halves	0	62.5
myriad	0	68.9655172414
envelopes	0	50.0
stowaway	0	50.0
bellies	0	50.0
fogenshrouded	3	100.0
minutesbr	-6	100.0
chancellorsville	3	100.0
underwood	-1	66.6666666667
interfaces	3	100.0
kingesquire	-3	100.0
storyone	3	100.0
moyas	3	100.0
krys	6	100.0
shaman	-1	66.6666666667
guantanamo	0	66.6666666667
connection|c|w	3	100.0
shoepolished	-3	100.0
allard	-3	100.0
finnerty	6	100.0
warmongering	0	50.0
[28]	-3	100.0
thoughafter	-3	100.0
heroworships	3	100.0
everwonder	3	100.0
line4s	-3	100.0
wynorski	-2	89.0909090909
wildbearded	-3	100.0
pemberly	-3	100.0
supply	-1	61.1111111111
greatnesswarning	3	100.0
onand	3	100.0
extraordenary	3	100.0
openness	6	100.0
throughout	0	53.6342769702
godforsaken	-2	83.3333333333
mcmurrays	-3	100.0
cavedwellers	-3	100.0
powersthatbe	-3	100.0
create	0	54.8689138577
creativity	0	57.1428571429
1993with	3	100.0
ireland	-1	61.4035087719
rett	3	100.0
facetied	-3	100.0
hopefuls	3	100.0
melodramas	1	77.7777777778
hollywoodsocalledthriller	-3	100.0
annihilating	3	100.0
4	-1	67.4190382728
kathy	0	57.6086956522
addison	-1	77.7777777778
nearcomplete	3	100.0
jutra	3	100.0
fleetingtacked	-3	100.0
awaaaay	3	100.0
tangiers	3	100.0
maitlands	3	100.0
kaths	-3	100.0
understand	0	51.7824773414
realms	0	58.8235294118
katha	3	100.0
fayes	-1	66.6666666667
unenviable	-2	80.0
honking	3	100.0
bile	-2	88.8888888889
hitchcock	1	70.4
unify	2	85.7142857143
demonszombiesdinner	-3	100.0
renaulds	-3	100.0
bill	0	60.0352112676
bilk	3	100.0
indulging	0	52.9411764706
omelettes	-6	100.0
shoddy	-3	92.6470588235
debased	-1	60.0
colophon	3	100.0
subplotsbr	3	100.0
endfor	3	100.0
langrishes	3	100.0
sekhar	3	100.0
decoration	0	64.7058823529
swishing	-3	100.0
riefenstahls	0	50.0
tribesmen	2	85.7142857143
truncheon	0	50.0
arenas	0	50.0
presentable	-3	100.0
faboulous	0	50.0
gack	-3	100.0
movieever	-3	100.0
copying	-2	83.7837837838
lenient	-2	80.0
gace	-3	100.0
terrestrials	3	100.0
sango	-3	100.0
bradfords	3	100.0
peoplebut	3	100.0
nonslave	3	100.0
itch	0	53.8461538462
armpit	3	100.0
cammisa	3	100.0
computerpros	-3	100.0
buonavolontà	3	100.0
moment	0	54.4303797468
coitum	3	100.0
admitting	1	72.7272727273
verboten	0	50.0
simcoe	3	100.0
lackawana	3	100.0
sandals	-1	66.6666666667
carload	-3	100.0
oeuvre	0	58.3333333333
twohanded	3	100.0
booooooring	-3	100.0
postpostpost	-3	100.0
morrow	-3	96.4285714286
cornball	0	54.5454545455
rostrums	3	100.0
foreignbased	-3	100.0
y	0	54.1666666667
revising	3	100.0
chemistry	0	61.0091743119
witlessness	-3	100.0
echoing	0	63.6363636364
harbachs	3	100.0
pharohs	-3	100.0
pierfrancesco	-3	100.0
yaddayadda	-3	100.0
[rec]	3	100.0
tyco	-3	100.0
adbr	3	100.0
nervestriking	3	100.0
nardi	3	100.0
