word	postive count	negative count	totalscore	accuracy
demons	2	1	1	0.666666666667
hassell	0	1	-1	1.0
thrive	1	0	1	1.0
knowing	1	1	0	0.5
europa	3	0	3	1.0
dramatization	0	1	-1	1.0
incident	0	1	-1	1.0
cryptic	1	0	1	1.0
last	6	5	1	0.545454545455
010br	1	0	1	1.0
barely	0	4	-4	1.0
connection	2	0	2	1.0
whole	6	3	3	0.666666666667
messiah	1	0	1	1.0
load	0	1	-1	1.0
acted	3	1	2	0.75
leon	2	1	1	0.666666666667
coincidence	1	0	1	1.0
adaptation	0	1	-1	1.0
church	2	1	1	0.666666666667
improvement	1	0	1	1.0
unemotional	1	0	1	1.0
blaisdell	0	2	-2	1.0
satire	1	0	1	1.0
hitting	1	0	1	1.0
blob	1	0	1	1.0
fire	2	3	-1	0.6
rwandese	0	1	-1	1.0
fritz	1	0	1	1.0
sleeves	0	1	-1	1.0
funk	0	1	-1	1.0
handling	1	0	1	1.0
straight	4	0	4	1.0
expanded	0	1	-1	1.0
budget	1	1	0	0.5
admire	0	1	-1	1.0
technical	1	1	0	0.5
leaning	0	1	-1	1.0
swim	1	0	1	1.0
hoping	0	1	-1	1.0
von	1	0	1	1.0
owen	0	2	-2	1.0
funny	12	10	2	0.545454545455
shorter	1	0	1	1.0
virtually	1	0	1	1.0
renounces	0	1	-1	1.0
snail	0	1	-1	1.0
alert	0	1	-1	1.0
viewing	4	1	3	0.8
walmart	0	2	-2	1.0
infamous	2	0	2	1.0
euro	0	1	-1	1.0
chawala	1	0	1	1.0
picks	0	1	-1	1.0
person	9	5	4	0.642857142857
sims	0	1	-1	1.0
rudolph	1	0	1	1.0
cabins	1	0	1	1.0
politely	1	0	1	1.0
zabriski	1	0	1	1.0
using	1	1	0	0.5
blizzard	1	0	1	1.0
eager	1	0	1	1.0
sputnik	1	0	1	1.0
parents	8	3	5	0.727272727273
location	2	1	1	0.666666666667
crying	1	0	1	1.0
input	2	0	2	1.0
bushwhackers	1	0	1	1.0
surprised	3	0	3	1.0
putnam	0	1	-1	1.0
clutches	0	1	-1	1.0
format	0	1	-1	1.0
couple	3	5	-2	0.625
wives	0	1	-1	1.0
suffering	3	0	3	1.0
pertinent	1	0	1	1.0
d	1	5	-4	0.833333333333
lampidorra	1	0	1	1.0
individuals	1	0	1	1.0
stylish	1	0	1	1.0
disorder	0	1	-1	1.0
spring	5	0	5	1.0
pals	2	0	2	1.0
limb	1	0	1	1.0
passiveaggressive	0	1	-1	1.0
palm	1	0	1	1.0
sight	1	0	1	1.0
curious	2	0	2	1.0
aryaman	1	0	1	1.0
battalion	0	1	-1	1.0
pale	1	0	1	1.0
irresistible	1	0	1	1.0
novelty	0	1	-1	1.0
religion	0	1	-1	1.0
be	98	61	37	0.616352201258
bo	1	2	-1	0.666666666667
agreement	1	0	1	1.0
feelings	1	0	1	1.0
nowhere	2	1	1	0.666666666667
br	153	126	27	0.548387096774
relating	1	0	1	1.0
by	91	72	19	0.558282208589
deserved	1	0	1	1.0
exaggerated	1	0	1	1.0
deserves	3	1	2	0.75
into	29	15	14	0.659090909091
hammered	0	1	-1	1.0
osama	0	1	-1	1.0
primarily	0	1	-1	1.0
unnerving	1	0	1	1.0
arcade	1	0	1	1.0
clichéd	0	1	-1	1.0
spending	0	1	-1	1.0
submit	1	0	1	1.0
suit	0	1	-1	1.0
opens	0	1	-1	1.0
atlantis	2	0	2	1.0
elsewhere	1	0	1	1.0
poster	3	0	3	1.0
atlantic	1	0	1	1.0
line	4	5	-1	0.555555555556
posted	1	0	1	1.0
cia	0	1	-1	1.0
magnificant	1	0	1	1.0
up	38	25	13	0.603174603175
us	12	7	5	0.631578947368
slander	1	0	1	1.0
un	0	3	-3	1.0
ui	1	0	1	1.0
mature	3	0	3	1.0
charmer	1	0	1	1.0
yelled	1	0	1	1.0
armstrong	0	1	-1	1.0
defined	1	0	1	1.0
influence	2	0	2	1.0
neurosurgery	0	1	-1	1.0
lancre	0	1	-1	1.0
grieco	2	0	2	1.0
flocker	1	0	1	1.0
hail	1	0	1	1.0
thugs	0	1	-1	1.0
upcoming	1	0	1	1.0
definitely	5	0	5	1.0
actors	8	9	-1	0.529411764706
implements	0	1	-1	1.0
raped	0	1	-1	1.0
elements	4	2	2	0.666666666667
ryans	0	1	-1	1.0
sided	0	1	-1	1.0
robots	1	0	1	1.0
aussies	0	1	-1	1.0
amitabh	4	0	4	1.0
ago	5	3	2	0.625
lane	0	1	-1	1.0
land	1	1	0	0.5
wafer	1	1	0	0.5
age	7	3	4	0.7
holes	0	1	-1	1.0
walked	1	0	1	1.0
harks	1	0	1	1.0
inaccuracy	0	1	-1	1.0
hello	3	2	1	0.6
code	1	3	-2	0.75
partial	2	0	2	1.0
serviceman	0	1	-1	1.0
incorporate	1	0	1	1.0
scratch	0	1	-1	1.0
laziness	1	0	1	1.0
results	2	0	2	1.0
illustrated	0	1	-1	1.0
resonate	0	1	-1	1.0
seemed	3	5	-2	0.625
archdiocese	2	0	2	1.0
turkish	3	0	3	1.0
young	26	17	9	0.604651162791
pussers	0	1	-1	1.0
reshot	1	0	1	1.0
sent	4	1	3	0.8
manipulates	1	0	1	1.0
torture	1	3	-2	0.75
continues	1	0	1	1.0
languishes	0	1	-1	1.0
continued	1	0	1	1.0
magic	5	1	4	0.833333333333
eva	0	1	-1	1.0
marry	1	4	-3	0.8
gettin	0	1	-1	1.0
eve	1	0	1	1.0
try	2	3	-1	0.6
race	1	4	-3	0.8
rack	0	3	-3	1.0
cannibals	1	0	1	1.0
ods	0	1	-1	1.0
mysterydrama	1	0	1	1.0
incognito	0	1	-1	1.0
video	7	2	5	0.777777777778
fword	0	1	-1	1.0
incidentally	1	0	1	1.0
pajamas	0	1	-1	1.0
victor	1	1	0	0.5
consistently	1	0	1	1.0
turnaround	1	0	1	1.0
delving	1	0	1	1.0
scenery	0	2	-2	1.0
lee	0	1	-1	1.0
leg	2	0	2	1.0
respectively	0	2	-2	1.0
gilles	0	1	-1	1.0
leo	2	0	2	1.0
let	6	5	1	0.545454545455
slaughter	1	0	1	1.0
deduced	1	0	1	1.0
engage	1	0	1	1.0
holmess	0	1	-1	1.0
receive	0	1	-1	1.0
involved	5	1	4	0.833333333333
opinion	4	2	2	0.666666666667
residents	1	0	1	1.0
makes	8	11	-3	0.578947368421
maker	1	0	1	1.0
involves	1	0	1	1.0
thats	12	16	-4	0.571428571429
holmes	1	1	0	0.5
complying	0	1	-1	1.0
toole	1	0	1	1.0
sgt	0	1	-1	1.0
extricate	1	0	1	1.0
outcomes	0	1	-1	1.0
tools	0	1	-1	1.0
zit	0	1	-1	1.0
cheered	0	1	-1	1.0
clichés	0	1	-1	1.0
illegal	2	2	0	0.5
bush	1	2	-1	0.666666666667
next	7	1	6	0.875
figurative	0	1	-1	1.0
eleven	1	0	1	1.0
doubt	3	0	3	1.0
infamy	0	1	-1	1.0
greenthumb	0	1	-1	1.0
occurred	0	1	-1	1.0
bodily	1	0	1	1.0
opposing	1	0	1	1.0
sharply	1	0	1	1.0
baby	0	3	-3	1.0
charity	1	0	1	1.0
depiction	1	0	1	1.0
animals	3	5	-2	0.625
broderick	0	2	-2	1.0
this	261	190	71	0.578713968958
challenge	2	0	2	1.0
process	2	0	2	1.0
lock	1	0	1	1.0
loch	0	1	-1	1.0
purposes	1	0	1	1.0
pieces	1	0	1	1.0
high	1	3	-2	0.75
comedymusical	0	1	-1	1.0
mullets	0	1	-1	1.0
peanutbutter	1	0	1	1.0
animal	3	3	0	0.5
comedy	8	7	1	0.533333333333
intelligent	2	1	1	0.666666666667
stand	3	0	3	1.0
blocks	0	1	-1	1.0
aspiring	1	0	1	1.0
weighed	1	0	1	1.0
depardieu	1	0	1	1.0
realized	2	0	2	1.0
robot	1	0	1	1.0
realizes	0	2	-2	1.0
nancy	2	0	2	1.0
counted	0	1	-1	1.0
producer	0	1	-1	1.0
move	5	2	3	0.714285714286
vicar	1	0	1	1.0
doubtful	1	0	1	1.0
produced	1	0	1	1.0
directs	0	1	-1	1.0
meantime	0	1	-1	1.0
stopin	0	1	-1	1.0
archival	0	1	-1	1.0
forest	1	1	0	0.5
spoofed	0	1	-1	1.0
cage	1	0	1	1.0
realize	2	0	2	1.0
presidential	0	1	-1	1.0
delightful	1	0	1	1.0
[the	1	0	1	1.0
betty	2	2	0	0.5
truth	3	3	0	0.5
beneath	0	1	-1	1.0
doing	4	4	0	0.5
jagger	0	1	-1	1.0
openminded	1	0	1	1.0
books	0	3	-3	1.0
differ	1	0	1	1.0
shannon	0	1	-1	1.0
fundamentally	0	1	-1	1.0
subhumans	0	1	-1	1.0
perversions	0	1	-1	1.0
superbly	1	0	1	1.0
unprepared	1	0	1	1.0
shut	1	1	0	0.5
greedy	1	0	1	1.0
surely	4	2	2	0.666666666667
minstrel	0	1	-1	1.0
scary	3	6	-3	0.666666666667
dubbed	1	0	1	1.0
could	27	20	7	0.574468085106
put	11	9	2	0.55
david	1	1	0	0.5
length	0	1	-1	1.0
hussein	1	0	1	1.0
scare	1	0	1	1.0
blown	2	0	2	1.0
451	0	1	-1	1.0
yells	1	0	1	1.0
scene	22	12	10	0.647058823529
alleged	0	1	-1	1.0
owner	0	1	-1	1.0
blows	0	1	-1	1.0
lolita	0	1	-1	1.0
los	1	0	1	1.0
festival	1	2	-1	0.666666666667
system	2	3	-1	0.6
sergeant	0	3	-3	1.0
stomach	0	2	-2	1.0
lot	5	8	-3	0.615384615385
shorts	1	1	0	0.5
depressing	1	0	1	1.0
burlesque	1	0	1	1.0
anyones	1	0	1	1.0
chong	1	0	1	1.0
steel	0	1	-1	1.0
bubblehead	0	1	-1	1.0
bother	1	2	-1	0.666666666667
gentile	0	1	-1	1.0
tortured	0	1	-1	1.0
roberts	0	3	-3	1.0
corsauts	1	0	1	1.0
steep	1	0	1	1.0
steer	0	1	-1	1.0
perverts	0	1	-1	1.0
false	4	3	1	0.571428571429
viewer	9	4	5	0.692307692308
reassuring	1	0	1	1.0
onehit	0	1	-1	1.0
blockbuster	2	1	1	0.666666666667
clearly	2	3	-1	0.6
viewed	1	0	1	1.0
studying	2	0	2	1.0
googlingup	1	0	1	1.0
korean	2	0	2	1.0
subject	6	2	4	0.75
lily	0	1	-1	1.0
embroiled	0	1	-1	1.0
allow	4	0	4	1.0
manoy	1	0	1	1.0
device	0	2	-2	1.0
everreliable	0	1	-1	1.0
fourbr	0	1	-1	1.0
enlist	0	1	-1	1.0
wounded	0	2	-2	1.0
bret	1	0	1	1.0
fact	9	7	2	0.5625
noire	1	0	1	1.0
atmosphere	3	0	3	1.0
bring	7	2	5	0.777777777778
lloyd	1	0	1	1.0
ripoff	0	1	-1	1.0
asylum	1	0	1	1.0
principal	1	0	1	1.0
taps	1	0	1	1.0
jay	0	2	-2	1.0
should	9	12	-3	0.571428571429
jan	1	0	1	1.0
tape	1	1	0	0.5
hope	7	3	4	0.7
meant	2	1	1	0.666666666667
insight	1	0	1	1.0
handle	0	1	-1	1.0
listened	1	0	1	1.0
means	2	1	1	0.666666666667
familiar	1	2	-1	0.666666666667
antagonist	1	0	1	1.0
denmark	1	0	1	1.0
vying	0	1	-1	1.0
stuff	6	5	1	0.545454545455
exude	1	0	1	1.0
edition	1	0	1	1.0
packed	0	1	-1	1.0
lyon	0	1	-1	1.0
destiny	1	0	1	1.0
nuclear	1	1	0	0.5
destino	1	0	1	1.0
youll	1	6	-5	0.857142857143
ends	2	4	-2	0.666666666667
comebacks	0	1	-1	1.0
courtyard	0	1	-1	1.0
witless	1	0	1	1.0
lawsuit	0	1	-1	1.0
drug	2	0	2	1.0
etc	2	1	1	0.666666666667
mazursky	0	1	-1	1.0
invites	0	1	-1	1.0
boyer	2	0	2	1.0
strongly	0	1	-1	1.0
incest	0	6	-6	1.0
stylistically	1	0	1	1.0
royersford	1	0	1	1.0
hawking	0	1	-1	1.0
homosexual	1	1	0	0.5
1201	0	1	-1	1.0
graphics	2	0	2	1.0
c1	1	0	1	1.0
spain	1	1	0	0.5
commodus	0	2	-2	1.0
theyve	1	0	1	1.0
eareating	0	1	-1	1.0
aesthetics	1	0	1	1.0
lush	1	0	1	1.0
site	3	0	3	1.0
pitt	2	1	1	0.666666666667
lust	0	1	-1	1.0
kudrow	0	2	-2	1.0
askew	1	0	1	1.0
sits	0	1	-1	1.0
clichéplayed	0	1	-1	1.0
oldfashioned	1	0	1	1.0
yuppie	0	1	-1	1.0
romance	1	0	1	1.0
outbreak	0	1	-1	1.0
terrorism	3	0	3	1.0
glaring	1	0	1	1.0
ball	1	1	0	0.5
raymond	1	0	1	1.0
emotionally	0	1	-1	1.0
upon	2	1	1	0.666666666667
identity	0	1	-1	1.0
off	14	15	-1	0.51724137931
pows	0	1	-1	1.0
colour	1	0	1	1.0
dissing	0	1	-1	1.0
cutting	0	1	-1	1.0
command	1	1	0	0.5
350	2	0	2	1.0
audio	1	0	1	1.0
softening	1	0	1	1.0
less	4	5	-1	0.555555555556
moments	4	2	2	0.666666666667
paul	2	2	0	0.5
spinsters	1	0	1	1.0
web	1	0	1	1.0
combine	0	2	-2	1.0
clipped	0	1	-1	1.0
crack	1	1	0	0.5
seeminglyunrelated	1	0	1	1.0
government	2	1	1	0.666666666667
five	2	2	0	0.5
desi	1	0	1	1.0
atrophy	0	1	-1	1.0
enemys	0	1	-1	1.0
50foot	0	1	-1	1.0
warned	1	1	0	0.5
become	9	1	8	0.9
amendment	0	1	-1	1.0
footage	1	2	-1	0.666666666667
splinter	1	0	1	1.0
aneta	1	0	1	1.0
thier	0	1	-1	1.0
blonde	0	3	-3	1.0
literally	1	2	-1	0.666666666667
luzhins	2	0	2	1.0
fedex	0	1	-1	1.0
snappy	0	1	-1	1.0
does	30	8	22	0.789473684211
anabel	0	1	-1	1.0
nakatas	2	0	2	1.0
stagy	0	1	-1	1.0
mcclain	0	1	-1	1.0
sidenotethe	0	1	-1	1.0
stage	1	0	1	1.0
sister	3	9	-6	0.75
lifestyle	1	0	1	1.0
puts	3	2	1	0.6
angeles	1	0	1	1.0
documentary	1	7	-6	0.875
gainey	0	1	-1	1.0
swimming	0	1	-1	1.0
alliance	0	1	-1	1.0
letters	1	0	1	1.0
recognise	0	1	-1	1.0
catherine	0	1	-1	1.0
theyd	1	0	1	1.0
flynn	1	0	1	1.0
delivery	0	1	-1	1.0
	0	2	-2	1.0
apollo	0	2	-2	1.0
places	1	0	1	1.0
society	2	1	1	0.666666666667
official	2	0	2	1.0
excitement	1	0	1	1.0
intangible	1	0	1	1.0
½	0	1	-1	1.0
problem	4	9	-5	0.692307692308
menstruation	2	0	2	1.0
rightly	1	0	1	1.0
slowing	1	0	1	1.0
unwatchable	0	2	-2	1.0
compared	0	1	-1	1.0
variety	3	0	3	1.0
deadly	1	0	1	1.0
details	3	0	3	1.0
francisco	1	0	1	1.0
class	2	3	-1	0.6
treason	0	1	-1	1.0
rex	2	0	2	1.0
chance	1	2	-1	0.666666666667
inspiration	2	0	2	1.0
ghost	1	2	-1	0.666666666667
lasted	0	1	-1	1.0
searched	3	0	3	1.0
gardens	1	0	1	1.0
madsen	0	1	-1	1.0
mansion	1	0	1	1.0
integrity	0	2	-2	1.0
worked	1	2	-1	0.666666666667
relationships	1	2	-1	0.666666666667
andalucia	0	1	-1	1.0
tickle	0	1	-1	1.0
neighbours	0	1	-1	1.0
bike	0	1	-1	1.0
whack	1	0	1	1.0
asthmatic	0	1	-1	1.0
blethyn	0	1	-1	1.0
urinating	1	0	1	1.0
monologue	4	0	4	1.0
1940s	0	1	-1	1.0
triumph	0	1	-1	1.0
paperback	1	0	1	1.0
cher	0	2	-2	1.0
machines	1	0	1	1.0
coed	0	1	-1	1.0
established	1	0	1	1.0
rockies	0	2	-2	1.0
above	4	1	3	0.8
suppose	1	0	1	1.0
told	7	1	6	0.875
neeson	0	1	-1	1.0
simultaneously	1	0	1	1.0
notions	1	0	1	1.0
nutjob	0	1	-1	1.0
pursuit	1	0	1	1.0
stresses	0	1	-1	1.0
daughter	2	7	-5	0.777777777778
study	3	2	1	0.6
sixdegreesofseparation	1	0	1	1.0
smoke	1	0	1	1.0
aka	0	1	-1	1.0
lespart	1	0	1	1.0
spooky	1	0	1	1.0
highly	3	0	3	1.0
socioeconomic	1	0	1	1.0
glance	0	1	-1	1.0
total	2	2	0	0.5
plot	10	14	-4	0.583333333333
plop	0	1	-1	1.0
palestinian	1	1	0	0.5
indians	2	0	2	1.0
negative	3	0	3	1.0
indiana	0	1	-1	1.0
separated	0	1	-1	1.0
bflick	0	1	-1	1.0
bilge	0	1	-1	1.0
award	3	0	3	1.0
aware	0	3	-3	1.0
capabilities	0	1	-1	1.0
camra	1	0	1	1.0
word	6	0	6	1.0
wore	0	1	-1	1.0
1997	2	0	2	1.0
permits	1	0	1	1.0
work	13	3	10	0.8125
eclipse	1	0	1	1.0
karras	0	2	-2	1.0
era	2	2	0	0.5
indicated	2	0	2	1.0
euthanasia	1	0	1	1.0
india	1	0	1	1.0
strangelove	0	2	-2	1.0
fanciful	1	1	0	0.5
farce	1	2	-1	0.666666666667
provide	3	1	2	0.75
ie	2	0	2	1.0
recovers	1	0	1	1.0
hitman	0	1	-1	1.0
interview	0	1	-1	1.0
disappoint	0	1	-1	1.0
beach	3	1	2	0.75
pizza	0	1	-1	1.0
arcs	1	0	1	1.0
ladder	1	0	1	1.0
after	32	22	10	0.592592592593
damaged	0	1	-1	1.0
lax	0	1	-1	1.0
unthreatening	1	0	1	1.0
meaningful	0	1	-1	1.0
scull	0	1	-1	1.0
chilled	0	1	-1	1.0
schneider	1	0	1	1.0
appreciate	6	1	5	0.857142857143
greek	1	0	1	1.0
green	8	1	7	0.888888888889
waitress	1	0	1	1.0
order	1	5	-4	0.833333333333
zee	1	0	1	1.0
westerns	0	1	-1	1.0
innovative	1	0	1	1.0
japan	1	0	1	1.0
bombing	1	0	1	1.0
somewhere	1	4	-3	0.8
production	4	2	2	0.666666666667
sahays	1	0	1	1.0
damages	0	1	-1	1.0
then	35	28	7	0.555555555556
them	25	24	1	0.510204081633
woken	1	0	1	1.0
cuties	1	0	1	1.0
break	1	3	-2	0.75
band	1	0	1	1.0
roommate	0	1	-1	1.0
they	66	59	7	0.528
payback	0	2	-2	1.0
lifelong	1	0	1	1.0
ther	1	0	1	1.0
bank	0	2	-2	1.0
bachchan	2	0	2	1.0
backgrounds	1	0	1	1.0
lifted	0	2	-2	1.0
voiceover	0	1	-1	1.0
crimes	1	0	1	1.0
maniacs	0	1	-1	1.0
flock	3	0	3	1.0
network	0	1	-1	1.0
remorse	1	0	1	1.0
forth	1	0	1	1.0
disputed	0	1	-1	1.0
standard	1	1	0	0.5
mullet	0	1	-1	1.0
muller	1	0	1	1.0
delves	1	0	1	1.0
mvt	1	0	1	1.0
maniac	0	1	-1	1.0
creates	2	1	1	0.666666666667
demilles	1	0	1	1.0
jonestown	1	1	0	0.5
fleshing	1	0	1	1.0
another	15	7	8	0.681818181818
mignard	1	0	1	1.0
thick	0	1	-1	1.0
electronic	1	0	1	1.0
illustrate	1	0	1	1.0
rated	1	3	-2	0.75
rejects	0	1	-1	1.0
elevator	1	0	1	1.0
plentiful	1	0	1	1.0
kangwon	4	0	4	1.0
john	3	6	-3	0.666666666667
opting	0	1	-1	1.0
grandchildren	1	0	1	1.0
happily	1	1	0	0.5
albert	1	0	1	1.0
rejected	0	1	-1	1.0
wasted	1	1	0	0.5
toronto	0	1	-1	1.0
mercy	0	1	-1	1.0
messing	1	0	1	1.0
scenes	15	9	6	0.625
ebay	1	0	1	1.0
glorifies	0	1	-1	1.0
historical	1	1	0	0.5
tackled	1	0	1	1.0
powers	3	0	3	1.0
failing	1	0	1	1.0
portraits	1	0	1	1.0
unconcerned	0	1	-1	1.0
forced	2	1	1	0.666666666667
strength	2	0	2	1.0
realm	1	0	1	1.0
laden	0	1	-1	1.0
convenient	0	1	-1	1.0
latter	1	1	0	0.5
realy	1	0	1	1.0
subjects	0	2	-2	1.0
jehovahs	3	0	3	1.0
forces	0	3	-3	1.0
what	52	41	11	0.559139784946
dreary	1	0	1	1.0
ramblings	1	0	1	1.0
involving	1	1	0	0.5
germany	3	0	3	1.0
30minute	1	0	1	1.0
germans	1	0	1	1.0
calculated	1	0	1	1.0
swamp	0	1	-1	1.0
aunt	1	0	1	1.0
voting	1	0	1	1.0
notion	0	1	-1	1.0
renting	0	1	-1	1.0
aryan	1	0	1	1.0
lewis	1	0	1	1.0
subtle	2	0	2	1.0
d1	1	0	1	1.0
just	53	34	19	0.609195402299
pursuing	1	0	1	1.0
adequate	0	1	-1	1.0
personality	2	0	2	1.0
predecessor	1	0	1	1.0
do	36	25	11	0.590163934426
gores	0	2	-2	1.0
chaney	0	1	-1	1.0
de	7	5	2	0.583333333333
dc	1	0	1	1.0
preferred	0	1	-1	1.0
yielded	0	1	-1	1.0
haunted	1	1	0	0.5
dr	0	5	-5	1.0
runs	3	1	2	0.75
domesticity	1	0	1	1.0
slimiest	0	1	-1	1.0
implication	0	1	-1	1.0
steal	1	0	1	1.0
turmoil	0	1	-1	1.0
cattle	0	1	-1	1.0
techniques	1	1	0	0.5
draws	1	0	1	1.0
away	12	10	2	0.545454545455
symmetric	0	1	-1	1.0
unable	1	2	-1	0.666666666667
farley	1	0	1	1.0
encounters	2	0	2	1.0
we	68	26	42	0.723404255319
terms	1	0	1	1.0
wa	1	0	1	1.0
handful	0	2	-2	1.0
ww	1	0	1	1.0
auteur	0	3	-3	1.0
kitchen	0	1	-1	1.0
gallagas	1	0	1	1.0
cop	1	1	0	0.5
psychologists	0	1	-1	1.0
cow	1	0	1	1.0
coy	0	1	-1	1.0
ill	8	4	4	0.666666666667
cob	1	0	1	1.0
receives	0	1	-1	1.0
brad	2	1	1	0.666666666667
tone	3	0	3	1.0
tons	0	1	-1	1.0
tony	2	2	0	0.5
oblivious	0	1	-1	1.0
beheaded	1	0	1	1.0
speak	3	0	3	1.0
petto	1	0	1	1.0
noel	1	0	1	1.0
warmth	1	0	1	1.0
families	1	0	1	1.0
easy	5	3	2	0.625
attacked	0	4	-4	1.0
concerning	1	0	1	1.0
levels	0	1	-1	1.0
madhouse	0	1	-1	1.0
applied	1	0	1	1.0
davison	0	1	-1	1.0
east	3	0	3	1.0
ahead	2	0	2	1.0
air	3	2	1	0.6
aim	1	0	1	1.0
depictions	0	1	-1	1.0
untastful	0	1	-1	1.0
abrupt	1	0	1	1.0
aid	1	0	1	1.0
property	1	1	0	0.5
mistake	2	2	0	0.5
dobson	1	0	1	1.0
sticker	1	0	1	1.0
dumped	0	1	-1	1.0
audrey	1	0	1	1.0
hebrew	1	0	1	1.0
kotex	1	0	1	1.0
jerry	2	0	2	1.0
cecil	1	0	1	1.0
advertising	1	0	1	1.0
wheel	0	1	-1	1.0
raid	1	0	1	1.0
carguy	0	1	-1	1.0
inheritor	1	0	1	1.0
saddam	1	0	1	1.0
evil	2	1	1	0.666666666667
hand	0	2	-2	1.0
redneck	3	0	3	1.0
hans	1	0	1	1.0
exudes	0	1	-1	1.0
kept	1	2	-1	0.666666666667
thy	0	1	-1	1.0
1975	1	0	1	1.0
1974	0	1	-1	1.0
1971	0	3	-3	1.0
tho	0	1	-1	1.0
campy	1	0	1	1.0
contact	1	0	1	1.0
the	1170	761	409	0.605903676851
musical	2	2	0	0.5
edmonton	0	1	-1	1.0
victim	1	0	1	1.0
adding	1	0	1	1.0
josh	0	1	-1	1.0
belongs	1	1	0	0.5
board	2	0	2	1.0
campanella	0	1	-1	1.0
tarzan	1	0	1	1.0
skanky	0	1	-1	1.0
theyre	2	4	-2	0.666666666667
night	16	9	7	0.64
security	1	1	0	0.5
towards	0	1	-1	1.0
worldwide	1	0	1	1.0
taffy	0	1	-1	1.0
sends	0	1	-1	1.0
born	3	1	2	0.75
bemused	0	1	-1	1.0
humor	3	8	-5	0.727272727273
purple	1	0	1	1.0
comments	10	1	9	0.909090909091
filming	3	0	3	1.0
asking	3	1	2	0.75
beating	0	1	-1	1.0
participation	1	0	1	1.0
pose	0	1	-1	1.0
post	2	1	1	0.666666666667
months	2	0	2	1.0
wrestlingobsessed	1	0	1	1.0
mowgli	1	0	1	1.0
dilemma	2	0	2	1.0
prisoners	1	0	1	1.0
balances	1	0	1	1.0
rendering	1	0	1	1.0
capped	0	1	-1	1.0
balanced	1	0	1	1.0
amidst	1	0	1	1.0
available	2	0	2	1.0
fight	3	0	3	1.0
way	40	15	25	0.727272727273
was	139	103	36	0.574380165289
war	13	6	7	0.684210526316
atherton	1	0	1	1.0
cheech	1	0	1	1.0
overrules	1	0	1	1.0
flirtatious	0	6	-6	1.0
generosity	1	0	1	1.0
emotional	1	1	0	0.5
terminally	1	0	1	1.0
forgiveable	1	0	1	1.0
pufnstuf	0	3	-3	1.0
guesses	1	0	1	1.0
moore	1	4	-3	0.8
inquisition	0	1	-1	1.0
nudity	0	4	-4	1.0
abstract	0	1	-1	1.0
israel	1	4	-3	0.8
evidence	0	2	-2	1.0
face	4	1	3	0.8
mold	0	1	-1	1.0
physical	2	0	2	1.0
dying	0	2	-2	1.0
reality	3	1	2	0.75
holding	1	0	1	1.0
topper	1	0	1	1.0
nonmedical	1	0	1	1.0
brothers	7	4	3	0.636363636364
convincing	1	1	0	0.5
together	5	3	2	0.625
basically	1	1	0	0.5
vampires	0	1	-1	1.0
dance	1	1	0	0.5
global	1	6	-5	0.857142857143
fabricated	1	0	1	1.0
fulcicut	1	0	1	1.0
grateful	2	1	1	0.666666666667
battle	2	0	2	1.0
idealism	2	0	2	1.0
supposedly	1	0	1	1.0
thankgodidontlivethere	0	1	-1	1.0
flash	1	0	1	1.0
aristocratic	2	0	2	1.0
terror	1	0	1	1.0
brown	0	2	-2	1.0
seemingly	2	2	0	0.5
trouble	3	2	1	0.6
presented	1	0	1	1.0
turns	3	4	-1	0.571428571429
gun	0	2	-2	1.0
drakes	1	0	1	1.0
guy	3	10	-7	0.769230769231
upper	0	2	-2	1.0
revolution	1	1	0	0.5
regret	2	0	2	1.0
murnau	1	0	1	1.0
repetitive	0	1	-1	1.0
repents	0	1	-1	1.0
discover	1	0	1	1.0
rough	1	0	1	1.0
cargo	0	1	-1	1.0
appear	1	2	-1	0.666666666667
barbie	0	1	-1	1.0
uniform	3	1	2	0.75
pulsating	0	1	-1	1.0
1015	1	0	1	1.0
appeal	1	0	1	1.0
satisfy	2	0	2	1.0
supporting	2	1	1	0.666666666667
explosion	0	1	-1	1.0
muslim	0	5	-5	1.0
mst3k	0	1	-1	1.0
sleepwalkers	0	1	-1	1.0
bosworth	0	1	-1	1.0
appears	2	2	0	0.5
change	4	2	2	0.666666666667
flames	0	2	-2	1.0
usually	2	2	0	0.5
shootouts	0	1	-1	1.0
morven	0	1	-1	1.0
regardless	0	1	-1	1.0
extra	1	1	0	0.5
roadbuddycomedythrillerromancedrama	0	1	-1	1.0
immediatly	1	0	1	1.0
rarely	0	2	-2	1.0
market	1	0	1	1.0
stereoscopic	0	1	-1	1.0
prove	2	0	2	1.0
collegecliques	1	0	1	1.0
territories	0	1	-1	1.0
live	5	3	2	0.625
angels	1	0	1	1.0
club	0	1	-1	1.0
envelope	0	1	-1	1.0
clue	0	3	-3	1.0
graphic	0	3	-3	1.0
trilling	0	1	-1	1.0
car	5	5	0	0.5
cat	4	8	-4	0.666666666667
labeled	0	1	-1	1.0
incidents	0	1	-1	1.0
can	50	19	31	0.724637681159
woefully	2	0	2	1.0
unmourned	0	1	-1	1.0
social	1	4	-3	0.8
heart	2	1	1	0.666666666667
dedicated	1	0	1	1.0
hears	2	1	1	0.666666666667
nemo	1	0	1	1.0
heard	4	1	3	0.8
abort	0	1	-1	1.0
clothing	1	1	0	0.5
serum	0	1	-1	1.0
fortunately	0	1	-1	1.0
mpaa	0	1	-1	1.0
